nameE,nameJ,kind,cost,isLife,back,text,deck
GANGSTER,構成員,GANGSTER CARD,1,,,【身代り】【使い捨て1】【MONEYCARD】を拾う,gangsters
GANGSTER,構成員,GANGSTER CARD,1,,,【身代り】【使い捨て1】【MONEYCARD】を拾う,gangsters
GANGSTER,構成員,GANGSTER CARD,1,,,【身代り】【使い捨て1】【MONEYCARD】を拾う,gangsters
GANGSTER,構成員,GANGSTER CARD,1,,,【身代り】【使い捨て1】【MONEYCARD】を拾う,gangsters
GANGSTER,構成員,GANGSTER CARD,1,,,【身代り】【使い捨て1】【MONEYCARD】を拾う,gangsters
GANGSTER,構成員,GANGSTER CARD,1,,,【身代り】【使い捨て1】【MONEYCARD】を拾う,gangsters
GANGSTER,構成員,GANGSTER CARD,1,,,【身代り】【使い捨て1】【MONEYCARD】を拾う,gangsters
GANGSTER,構成員,GANGSTER CARD,1,,,【身代り】【使い捨て1】【MONEYCARD】を拾う,gangsters
GANGSTER,構成員,GANGSTER CARD,1,,,【身代り】【使い捨て1】【MONEYCARD】を拾う,gangsters
GANGSTER,構成員,GANGSTER CARD,1,,,【身代り】【使い捨て1】【MONEYCARD】を拾う,
GANGSTER,構成員,GANGSTER CARD,1,,,【身代り】【使い捨て1】【MONEYCARD】を拾う,
GANGSTER,構成員,GANGSTER CARD,1,,,【身代り】【使い捨て1】【MONEYCARD】を拾う,
VANGUARD,鉄砲玉,GANGSTER CARD,1,,,【身代り】【弾丸】,
VANGUARD,鉄砲玉,GANGSTER CARD,1,,,【身代り】【弾丸】,
VANGUARD,鉄砲玉,GANGSTER CARD,1,,,【身代り】【弾丸】,
VANGUARD,鉄砲玉,GANGSTER CARD,1,,,【身代り】【弾丸】,
RED LIFE,革命派,LIFE CARD,,TRUE,,【公開禁止】,lifesIn
BLUE LIFE,保守派,LIFE CARD,,TRUE,,【公開禁止】,lifesIn
SEA GREEN LIFE,古き者,LIFE CARD,,TRUE,,【公開禁止】自身以外の全員が死亡した時に【支配勝利(3)】(自身の生死を問わない)  / 自身が【死亡】している場合、他の唯一の【生存】者は【孤独勝利(1)】 / 他人により死亡した時に全員に【殺害1】 / 【死亡】後は以下の効果を適応する・自身の行動回数が1回増える・自身はドローフェイズに追加で1枚カードをドローする・【死亡】者は自身のターン終了時にカードを捨てなくて良い,lifesIn
BLACK LIFE,裏切者,LIFE CARD,,TRUE,,このカードを公開すると行動回数が1増える,lifesOpt
RED LIFE,革命派,LIFE CARD,,TRUE,,【公開禁止】,lifesOpt
BLUE LIFE,保守派,LIFE CARD,,TRUE,,【公開禁止】,lifesOpt
PURPLE LIFE,臆病者,LIFE CARD,,TRUE,,このカードを他人に見られると【死亡】する,lifesOpt
GRAY LIFE,共謀者,LIFE CARD,,TRUE,,このカードを他人に見られると【死亡】する,lifesOpt
DEEP GREEN LIFE,狂信者,LIFE CARD,,TRUE,,【公開禁止】【SEA GLEEN LIFE】が勝利した時に【振興勝利(2)】、このライフはそれ以外の勝利条件を持たない。,lifesOpt
PINK LIFE,夜の帝王,LIFE CARD,,TRUE,,【公開禁止】自ターンに「俺は女人勝利するぞー!」と叫び、次のターンの最初に【BEAUTY】を持っていれば【女人勝利(3)】,lifesOpt
MONEY,金,MONEY CARD,(なし),,,【購入1】,moneys
MONEY,金,MONEY CARD,(なし),,,【購入1】,moneys
MONEY,金,MONEY CARD,(なし),,,【購入1】,moneys
MONEY,金,MONEY CARD,(なし),,,【購入1】,moneys
MONEY,金,MONEY CARD,(なし),,,【購入1】,moneys
MONEY,金,MONEY CARD,(なし),,,【購入1】,moneys
MONEY,金,MONEY CARD,(なし),,,【購入1】,moneys
MONEY,金,MONEY CARD,(なし),,,【購入1】,moneys
MONEY,金,MONEY CARD,(なし),,,【購入1】,moneys
MONEY,金,MONEY CARD,(なし),,,【購入1】,
MONEY,金,MONEY CARD,(なし),,,【購入1】,
MONEY,金,MONEY CARD,(なし),,,【購入1】,
MONEY,金,MONEY CARD,(なし),,,【購入1】,
MONEY,金,MONEY CARD,(なし),,,【購入1】,
FAKE MONEY,偽金,MONEY CARD,(なし),,,【購入1】,
FAKE MONEY,偽金,MONEY CARD,(なし),,,【購入1】,
FAKE MONEY,偽金,MONEY CARD,(なし),,,【購入1】,
FAKE MONEY,偽金,MONEY CARD,(なし),,,【購入1】,
FAKE MONEY,偽金,MONEY CARD,(なし),,,【購入1】,
FAKE MONEY,偽金,MONEY CARD,(なし),,,【購入1】,
FAKE MONEY,偽金,MONEY CARD,(なし),,,【購入1】,
FAKE MONEY,偽金,MONEY CARD,(なし),,,【購入1】,
FAKE MONEY,偽金,MONEY CARD,(なし),,,【購入1】,
FAKE MONEY,偽金,MONEY CARD,(なし),,,【購入1】,
SPY,潜入者,SPECIALIST CARD,1,,,【使い捨て】[確認3] / [確認2]をして内1枚を奪う,startMarket
SPY,潜入者,SPECIALIST CARD,1,,,【使い捨て】[確認3] / [確認2]をして内1枚を奪う,
SPY,潜入者,SPECIALIST CARD,1,,,【使い捨て】[確認3] / [確認2]をして内1枚を奪う,
TRICKSTER,詐欺師,SPECIALIST CARD,1,,,【対応】【使い捨て】コスト1のSPカードからの[確認]を無効にし、そのカードを奪う / 【対応】【公開】取引でこのカードだけを渡す,startMarket
TRICKSTER,詐欺師,SPECIALIST CARD,1,,,【対応】【使い捨て】コスト1のSPカードからの[確認]を無効にし、そのカードを奪う / 【対応】【公開】取引でこのカードだけを渡す,
NEGOTIATOR,交渉人,SPECIALIST CARD,1,,,【制限1】【公開1】[奪取2]の後2枚渡す,
HUSTLER,売人,SPECIALIST CARD,2,,,【制限1】【公開1】【MONEYCARD】を1枚拾う。その後1コストだけ武器を売却できる。,specialists
GUNSMITH,銃職人,SPECIALIST CARD,2,,,【制限1】【公開1】場の1コスの【WEAPON CARD】を拾う。追加で金を払えば高いコストも可,specialists
DETECTIVE,探偵,SPECIALIST CARD,2,,,【制限1】【公開0】[確認2],specialists
PHANTOM,怪盗,SPECIALIST CARD,2,,,【摘発対象】【使い捨て1】対象の手札が10枚以上あれば[奪取2] / 【対応】【使い捨て】5枚以上の取引が行われた時、それらのカードを任意に2枚奪う,specialists
KILLER,殺し屋,SPECIALIST CARD,3,,,【使い捨て1】[殺害2]、あなたが黒ならば代わりに[殺害3],
KILLER,殺し屋,SPECIALIST CARD,3,,,【使い捨て1】[殺害2]、あなたが黒ならば代わりに[殺害3],
BEAUTY,美女,SPECIALIST CARD,3,,,【対応】【SPECIALIST CARD】を無効化し奪う(【KILLER】には使えない),
STEELER,大泥棒,SPECIALIST CARD,2,,,【摘発対象】【公開1】[奪取1],specialists
STEELER,大泥棒,SPECIALIST CARD,2,,,【摘発対象】【公開1】[奪取1],specialists
UNDERTAKER,葬儀屋,SPECIALIST CARD,2,,,【制限1】【対応】【公開】誰かが死亡、もしくは【身代り】を捨てた時に【MONEYCARD】を1枚拾う,specialists
TORTUER,拷問人,SPECIALIST CARD,2,,,【摘発対象】【対応】【公開】ダメージを与えた時[確認2]をし、そのうち1枚を捨てる,specialists
SNATCHER,スリ師,SPECIALIST CARD,1,,,【制限1】【使い捨て0】隣の相手を[奪取1],
SNATCHER,スリ師,SPECIALIST CARD,1,,,【制限1】【使い捨て0】隣の相手を[奪取1],
DOCTOR,闇医者,SPECIALIST CARD,2,,,【摘発対象】【制限1】【対応】【公開】誰かの【身代り】時【MONEYCARD】を1枚捨て捨てられたカードを拾う,specialists
JOURNALIST,記者,SPECIALIST CARD,1,,,【制限1】【使い捨て0】[確認2]をしそれらを任意に公開する。公開されたカードは[摘発]される。 【摘発時】カードを返し[捨札1],
THE CHEFISH,料理人,SPECIALIST CARD,2,,,【制限1】【公開1】[殺害1]、【身代り】をされた場合【MONEYCARD】を1枚拾う,noHands
THE BOILLIONAIRE,億万長者,SPECIALIST CARD,2,,,【制限1】【対応】【公開】【購入】の行動回数をなくす,noHands
THE ENDORSER,異国の始末屋,SPECIALIST CARD,2,,,【犯行】自身を【即死1】、その後【死亡】していなければ対象に【即死2】/ 【犯歴】LIFEが摘発対象になる。次のターン開始時に手札に戻す,noHands
SPY the DOPPEL,二重スパイ,SPECIALIST CARD,1,,,【使い捨て1】対象に【確認3】を行い、その後対象は自身に【確認3】を行う。,
HETAILIS,娼年,SPECIALIST CARD,2,,,【使い捨て1】【WEAPON CARD】【MONEY CARD】をあわせてX枚捨てる。対象は【LIFE CARD】【SPECIALIST CARD】【GANGSTER CARD】を(ダ)[合計X-1枚捨てる]。この効果は【WEAPON CARD】の効果として扱う。,specialists
GUN,拳銃,WEAPON CARD,1,,,【公開1】【射撃1】[殺害1],weapons
GUN,拳銃,WEAPON CARD,1,,,【公開1】【射撃1】[殺害1],weapons
GUN,拳銃,WEAPON CARD,1,,,【公開1】【射撃1】[殺害1],weapons
GUN,拳銃,WEAPON CARD,1,,,【公開1】【射撃1】[殺害1],weapons
GUN,拳銃,WEAPON CARD,1,,,【公開1】【射撃1】[殺害1],weapons
GUN,拳銃,WEAPON CARD,1,,,【公開1】【射撃1】[殺害1],weapons
MACHINEGUN,機関銃,WEAPON CARD,2,,,【公開1】【射撃∞】[殺害1],
MACHINEGUN,機関銃,WEAPON CARD,2,,,【公開1】【射撃∞】[殺害1],
KATANA,日本刀,WEAPON CARD,2,,,【制限1】【公開1】[殺害1],weapons
KATANA,日本刀,WEAPON CARD,2,,,【制限1】【公開1】[殺害1],weapons
SHOTGUN,散弾銃,WEAPON CARD,2,,,【公開1】【射撃1】[殺害1]、隣の人であればさらに[捨札1],weapons
SHOTGUN,散弾銃,WEAPON CARD,2,,,【公開1】【射撃1】[殺害1]、隣の人であればさらに[捨札1],weapons
BULLET,弾丸,WEAPON CARD,1,,,【弾丸】,
BULLET,弾丸,WEAPON CARD,1,,,【弾丸】,
BULLET,弾丸,WEAPON CARD,1,,,【弾丸】,
BULLET,弾丸,WEAPON CARD,1,,,【弾丸】,
BULLET,弾丸,WEAPON CARD,1,,,【弾丸】,
AP-BULLET,貫通弾,WEAPON CARD,1,,,【弾丸】[捨札1],
AP-BULLET,貫通弾,WEAPON CARD,1,,,【弾丸】[捨札1],
AP-BULLET,貫通弾,WEAPON CARD,1,,,【弾丸】[捨札1],
MAGAZINE,弾倉,WEAPON CARD,2,,,【対応】【使い捨て】[射撃]をしたエンドフェイズに【弾丸】を2枚拾う,
MAGAZINE,弾倉,WEAPON CARD,2,,,【対応】【使い捨て】[射撃]をしたエンドフェイズに【弾丸】を2枚拾う,
SILENCER,消音装置,WEAPON CARD,1,,,【対応】【使い捨て】[射撃]の行動回数をなしにする,
SILENCER,消音装置,WEAPON CARD,1,,,【対応】【使い捨て】[射撃]の行動回数をなしにする,
GRENADE,手榴弾,WEAPON CARD,2,,,【対応】【使い捨て】被ダメから全員に[殺害1],
GRENADE,手榴弾,WEAPON CARD,2,,,【対応】【使い捨て】被ダメから全員に[殺害1],
SNIPER RIFLE,狙撃銃,WEAPON CARD,2,,,【制限1】 【公開1】[確認2] / 【公開2】【射撃1】[殺害2],weapons
ASSAULT RIFLE,突撃銃,WEAPON CARD,2,,,【公開1】【射撃1】[殺害1] or [捨札2],weapons
ASSAULT RIFLE,突撃銃,WEAPON CARD,2,,,【公開1】【射撃1】[殺害1] or [捨札2],weapons
MAGNUM,大型拳銃,WEAPON CARD,2,,,【制限1】【公開1】【射撃1】[即死1],
MAGNUM,大型拳銃,WEAPON CARD,2,,,【制限1】【公開1】【射撃1】[即死1],
FLASH BANG,閃光発音筒,WEAPON CARD,2,,,【対応】【使い捨て】ダメージ効果を含む効果を受けた後そのターンを終了させる,
ROCKET LAUNCHER,対戦車擲弾発射器,WEAPON CARD,2,,,【摘発対象】【公開1】【GRENADE】捨て[即死3],
ROCKET LAUNCHER,対戦車擲弾発射器,WEAPON CARD,2,,,【摘発対象】【公開1】【GRENADE】捨て[即死3],
CONFESSION BULLET,自白弾,WEAPON CARD,1,,,【弾丸】(ダ)自身の性癖を吐露する,
CONFESSION BULLET,自白弾,WEAPON CARD,1,,,【弾丸】(ダ)自身の性癖を吐露する,
,だいじょうぶ,未分類,,,,,
